Delta,Theta,Alpha,Beta,Gamma,Word
1049,1332,1867,3284,4307,left
1009,1474,1959,3191,4408,left
1020,1320,1841,3253,4231,left
1021,1415,1860,3172,4328,left
1059,1466,1803,3292,4462,left
1020,1342,1931,3256,4324,left
1083,1326,1977,3248,4116,left
1002,1342,1887,3213,4476,left
1042,1453,1804,3243,4329,left
1091,1342,1908,3221,4127,left
1064,1438,1951,3274,4402,left
1045,1473,1849,3213,4190,left
1025,1458,1831,3214,4355,left
1018,1303,1870,3185,4388,left
1090,1370,1957,3292,4125,left
1072,1476,1859,3299,4196,left
1016,1410,1834,3262,4173,left
1011,1386,1973,3292,4161,left
1079,1351,1911,3125,4177,left
1033,1301,1805,3134,4139,left
1033,1361,1859,3124,4135,left
1032,1419,1875,3177,4116,left
1043,1345,1807,3180,4103,left
1010,1455,1825,3194,4322,left
1080,1308,1863,3264,4366,left
1002,1432,1897,3189,4295,left
1062,1305,1821,3188,4443,left
1036,1391,1831,3237,4391,left
1019,1362,1816,3227,4147,left
1060,1430,1842,3295,4259,left
1119,1562,2963,3738,4953,right
1156,1674,2605,3739,4930,right
1150,1613,2937,3845,4636,right
1135,1552,2765,3648,4959,right
1160,1591,2936,3646,4810,right
1126,1570,2725,3599,4657,right
1152,1624,2667,3933,4844,right
1175,1666,2840,3873,4700,right
1152,1588,2880,3613,4865,right
1129,1634,2936,3867,4747,right
1135,1651,2502,3598,4637,right
1161,1598,2849,3635,4684,right
1147,1551,2819,3831,4681,right
1161,1655,2945,3632,4909,right
1127,1666,2531,3914,4633,right
1105,1660,2721,3836,4857,right
1155,1666,2651,3511,4776,right
1122,1654,2735,3602,4741,right
1142,1611,2926,3522,4669,right
1142,1594,2277,3538,4945,right
1104,1574,2313,3535,4708,right
1175,1591,2411,3525,4729,right
1113,1646,2900,3606,4789,right
1144,1675,2332,3967,4933,right
1168,1610,2830,3583,4782,right
1130,1659,2636,3611,4890,right
1173,1562,2406,3939,4956,right
1127,1661,2636,3688,4736,right
1127,1575,2971,3793,4700,right
1106,1570,2910,3797,4726,right
